Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
357636,Civilization and Its Discontents,Sigmund Freud,"Freud, Sigmund","Peter Gay, James Strachey","=""0393301583""","=""9780393301588""",0,3.79,W. W. Norton  Company,Paperback,127,1989,1930,,2019/07/05,to-read,to-read (#92),to-read,,,,0,0
18406655,"Aligning Strategy and Sales: The Choices, Systems, and Behaviors that Drive Effective Selling",Frank V. Cespedes,"Cespedes, Frank V.",,"=""1422196054""","=""9781422196052""",0,4.04,Harvard Business Review Press,Hardcover,336,2014,2014,,2019/07/03,to-read,to-read (#91),to-read,,,,0,0
44081969,The Last Unknowns,John Brockman,"Brockman, John",Daniel Kahneman,"=""0062897950""","=""9780062897954""",0,3.35,William Morrow Paperbacks,Kindle Edition,348,2019,2019,,2019/07/03,to-read,to-read (#90),to-read,,,,0,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.38,"Farrar, Straus and Giroux",Paperback,796,2002,1880,,2019/06/29,to-read,to-read (#89),to-read,,,,0,0
18669169,The Sleepwalkers: How Europe Went to War in 1914,Christopher   Clark,"Clark, Christopher",,"=""""","=""""",0,4.23,Penguin,Kindle Edition,706,2012,2012,,2019/06/27,to-read,to-read (#88),to-read,,,,0,0
3269091,"The Alchemy of Air: A Jewish Genius, a Doomed Tycoon, and the Scientific Discovery That Fed the World but Fueled the Rise of Hitler",Thomas Hager,"Hager, Thomas",,"=""0307351785""","=""9780307351784""",0,4.35,Crown,Hardcover,336,2008,2008,,2019/06/27,to-read,to-read (#87),to-read,,,,0,0
139421,The Eternal Husband,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Constance Garnett,"=""097614073X""","=""9780976140733""",0,3.75,Melville House,Paperback,137,2005,1870,,2019/06/27,to-read,to-read (#86),to-read,,,,0,0
12505,The Idiot,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Anna Brailovsky, Joseph Frank, Constance Garnett","=""0679642420""","=""9780679642428""",0,4.21,Modern Library,Paperback,667,2003,1869,,2019/06/27,to-read,to-read (#85),to-read,,,,0,0
12030438,"The Startup of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,"Hoffman, Reid",Ben Casnocha,"=""0307888924""","=""9780307888921""",0,3.82,Crown Business,Kindle Edition,252,2012,2012,,2019/06/24,to-read,to-read (#84),to-read,,,,0,0
26046333,Designing Your Life: Build a Life that Works for You,Bill Burnett,"Burnett, Bill",Dave Evans,"=""1784740241""","=""9781784740245""",0,3.91,Chatto & Windus,Paperback,240,2013,2016,,2019/06/24,to-read,to-read (#83),to-read,,,,0,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",0,4.29,Doubleday,Hardcover,720,2015,2015,,2019/06/18,to-read,to-read (#82),to-read,,,,0,0
30841984,"Kings of the Wyld (The Band, #1)",Nicholas Eames,"Eames, Nicholas",,"=""0316362476""","=""9780316362474""",0,4.27,Orbit,Paperback,502,2017,2017,,2019/06/18,to-read,to-read (#81),to-read,,,,0,0
30269094,"Autumn (Seasonal, #1)",Ali Smith,"Smith, Ali",,"=""""","=""""",0,3.66,Pantheon,Hardcover,263,2017,2016,,2019/05/18,to-read,to-read (#78),to-read,,,,0,0
401682,Good Natured: The Origins of Right and Wrong in Humans and Other Animals,Frans de Waal,"Waal, Frans de",,"=""0674356616""","=""9780674356610""",0,4.11,Harvard University Press,Paperback,368,1997,1996,,2019/06/06,to-read,to-read (#80),to-read,,,,0,0
188093,Journal of Katherine Mansfield,Katherine Mansfield,"Mansfield, Katherine",John Middleton Murry,"=""0880010231""","=""9780880010238""",0,3.94,Ecco Pr,Paperback,255,1983,1927,,2019/06/06,to-read,to-read (#79),to-read,,,,0,0
41015154,The Bookshop,Penelope Fitzgerald,"Fitzgerald, Penelope",,"=""0547524773""","=""9780547524771""",0,3.27,Mariner Books,Kindle Edition,163,2013,1978,,2019/05/18,to-read,to-read (#77),to-read,,,,0,0
46170,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",0,3.98,Scribner,Paperback,471,1995,1940,,2019/05/14,to-read,to-read (#76),to-read,,,,0,0
